** CONVERTED FROM s00_d2.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Dec 10 15:58:40 2017
** DATE: Fri Dec  1 05:32:04 2017
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	26430780 RECCFG CR 500 2 1 R
MSG	26430780 ELCLCFG MTABLER
MSG	26430780 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	26430780 THRESHOLDS R 82 217
MSG	26430780 ELCL_PROC ELLIPSE  (5)
MSG	26430780 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	26430781 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	26430781 !MODE RECORD CR 500 2 1 R
INPUT	26430781	127
26430781	   .	   .	    0.0	...
SSACC R  26430783
SBLINK R 26430783
26430783	   .	   .	    0.0	...
26430785	   .	   .	    0.0	...
26430787	   .	   .	    0.0	...
26430789	   .	   .	    0.0	...
26430791	   .	   .	    0.0	...
26430793	   .	   .	    0.0	...
26430795	   .	   .	    0.0	...
26430797	   .	   .	    0.0	...
26430799	   .	   .	    0.0	...
26430801	   .	   .	    0.0	...
26430803	   .	   .	    0.0	...
26430805	   .	   .	    0.0	...
26430807	   .	   .	    0.0	...
26430809	   .	   .	    0.0	...
26430811	   .	   .	    0.0	...
26430813	   .	   .	    0.0	...
26430815	   .	   .	    0.0	...
26430817	   .	   .	    0.0	...
26430819	   .	   .	    0.0	...
26430821	   .	   .	    0.0	...
26430823	   .	   .	    0.0	...
26430825	   .	   .	    0.0	...
26430827	   .	   .	    0.0	...
26430829	   .	   .	    0.0	...
26430831	   .	   .	    0.0	...
MSG	26430832 START_CS+
26430833	   .	   .	    0.0	...
26430835	   .	   .	    0.0	...
26430837	   .	   .	    0.0	...
26430839	   .	   .	    0.0	...
26430841	   .	   .	    0.0	...
26430843	   .	   .	    0.0	...
26430845	   .	   .	    0.0	...
26430847	   .	   .	    0.0	...
26430849	   .	   .	    0.0	...
26430851	   .	   .	    0.0	...
26430853	   .	   .	    0.0	...
26430855	   .	   .	    0.0	...
26430857	   .	   .	    0.0	...
26430859	   .	   .	    0.0	...
26430861	   .	   .	    0.0	...
26430863	   .	   .	    0.0	...
26430865	   .	   .	    0.0	...
26430867	   .	   .	    0.0	...
26430869	   .	   .	    0.0	...
26430871	   .	   .	    0.0	...
26430873	   .	   .	    0.0	...
26430875	   .	   .	    0.0	...
26430877	   .	   .	    0.0	...
26430879	   .	   .	    0.0	...
26430881	   .	   .	    0.0	...
26430883	   .	   .	    0.0	...
