** CONVERTED FROM s02_d2.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Dec 10 15:59:13 2017
** DATE: Fri Dec  1 22:16:31 2017
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	1332703 RECCFG CR 500 2 1 R
MSG	1332703 ELCLCFG MTABLER
MSG	1332703 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1332703 THRESHOLDS R 82 217
MSG	1332703 ELCL_PROC ELLIPSE  (5)
MSG	1332703 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1332704 !MODE RECORD CR 500 2 1 R
START	1332705 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	1332705	127
1332705	   .	   .	    0.0	...
SSACC R  1332707
SBLINK R 1332707
1332707	   .	   .	    0.0	...
1332709	   .	   .	    0.0	...
1332711	   .	   .	    0.0	...
1332713	   .	   .	    0.0	...
1332715	   .	   .	    0.0	...
1332717	   .	   .	    0.0	...
1332719	   .	   .	    0.0	...
1332721	   .	   .	    0.0	...
1332723	   .	   .	    0.0	...
1332725	   .	   .	    0.0	...
1332727	   .	   .	    0.0	...
1332729	   .	   .	    0.0	...
1332731	   .	   .	    0.0	...
1332733	   .	   .	    0.0	...
1332735	   .	   .	    0.0	...
1332737	   .	   .	    0.0	...
1332739	   .	   .	    0.0	...
1332741	   .	   .	    0.0	...
1332743	   .	   .	    0.0	...
1332745	   .	   .	    0.0	...
1332747	   .	   .	    0.0	...
1332749	   .	   .	    0.0	...
1332751	   .	   .	    0.0	...
1332753	   .	   .	    0.0	...
1332755	   .	   .	    0.0	...
1332757	   .	   .	    0.0	...
1332759	   .	   .	    0.0	...
1332761	   .	   .	    0.0	...
1332763	   .	   .	    0.0	...
1332765	   .	   .	    0.0	...
1332767	   .	   .	    0.0	...
1332769	   .	   .	    0.0	...
MSG	1332770 START_CS+
1332771	   .	   .	    0.0	...
1332773	   .	   .	    0.0	...
1332775	   .	   .	    0.0	...
1332777	   .	   .	    0.0	...
1332779	   .	   .	    0.0	...
1332781	   .	   .	    0.0	...
1332783	   .	   .	    0.0	...
1332785	   .	   .	    0.0	...
1332787	   .	   .	    0.0	...
1332789	   .	   .	    0.0	...
1332791	   .	   .	    0.0	...
1332793	   .	   .	    0.0	...
1332795	   .	   .	    0.0	...
1332797	   .	   .	    0.0	...
1332799	   .	   .	    0.0	...
1332801	   .	   .	    0.0	...
1332803	   .	   .	    0.0	...
1332805	   .	   .	    0.0	...
1332807	   .	   .	    0.0	...
