** CONVERTED FROM s03_d1.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Jan 14 10:43:31 2018
** DATE: Fri Dec  1 22:29:34 2017
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	1941757 RECCFG CR 500 2 1 R
MSG	1941757 ELCLCFG MTABLER
MSG	1941757 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1941757 THRESHOLDS R 82 217
MSG	1941757 ELCL_PROC ELLIPSE  (5)
MSG	1941757 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1941758 !MODE RECORD CR 500 2 1 R
START	1941759 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	1941759	127
1941759	   .	   .	    0.0	...
SSACC R  1941761
SBLINK R 1941761
1941761	   .	   .	    0.0	...
1941763	   .	   .	    0.0	...
1941765	   .	   .	    0.0	...
1941767	   .	   .	    0.0	...
1941769	   .	   .	    0.0	...
1941771	   .	   .	    0.0	...
1941773	   .	   .	    0.0	...
1941775	   .	   .	    0.0	...
1941777	   .	   .	    0.0	...
1941779	   .	   .	    0.0	...
1941781	   .	   .	    0.0	...
1941783	   .	   .	    0.0	...
1941785	   .	   .	    0.0	...
1941787	   .	   .	    0.0	...
1941789	   .	   .	    0.0	...
1941791	   .	   .	    0.0	...
1941793	   .	   .	    0.0	...
1941795	   .	   .	    0.0	...
1941797	   .	   .	    0.0	...
1941799	   .	   .	    0.0	...
1941801	   .	   .	    0.0	...
1941803	   .	   .	    0.0	...
1941805	   .	   .	    0.0	...
1941807	   .	   .	    0.0	...
1941809	   .	   .	    0.0	...
1941811	   .	   .	    0.0	...
1941813	   .	   .	    0.0	...
1941815	   .	   .	    0.0	...
1941817	   .	   .	    0.0	...
1941819	   .	   .	    0.0	...
1941821	   .	   .	    0.0	...
1941823	   .	   .	    0.0	...
1941825	   .	   .	    0.0	...
1941827	   .	   .	    0.0	...
1941829	   .	   .	    0.0	...
1941831	   .	   .	    0.0	...
1941833	   .	   .	    0.0	...
1941835	   .	   .	    0.0	...
1941837	   .	   .	    0.0	...
1941839	   .	   .	    0.0	...
1941841	   .	   .	    0.0	...
1941843	   .	   .	    0.0	...
1941845	   .	   .	    0.0	...
1941847	   .	   .	    0.0	...
1941849	   .	   .	    0.0	...
1941851	   .	   .	    0.0	...
1941853	   .	   .	    0.0	...
1941855	   .	   .	    0.0	...
1941857	   .	   .	    0.0	...
1941859	   .	   .	    0.0	...
1941861	   .	   .	    0.0	...
1941863	   .	   .	    0.0	...
