** CONVERTED FROM s45_d2.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Jan 14 10:46:51 2018
** DATE: Sat Jan 13 14:17:31 2018
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	3533982 DRIFTCORRECT R RIGHT at 960,540  OFFSET 4.03 deg.  161.3,-30.0 pix.
INPUT	3688009	127
MSG	3688018 RECCFG CR 500 2 1 R
MSG	3688018 ELCLCFG MTABLER
MSG	3688018 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3688018 THRESHOLDS R 91 237
MSG	3688018 ELCL_PROC ELLIPSE  (5)
MSG	3688018 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	3688019 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	3688019 !MODE RECORD CR 500 2 1 R
INPUT	3688019	127
3688019	   .	   .	    0.0	...
SSACC R  3688021
SBLINK R 3688021
3688021	   .	   .	    0.0	...
3688023	   .	   .	    0.0	...
3688025	   .	   .	    0.0	...
3688027	   .	   .	    0.0	...
3688029	   .	   .	    0.0	...
3688031	   .	   .	    0.0	...
3688033	   .	   .	    0.0	...
3688035	   .	   .	    0.0	...
3688037	   .	   .	    0.0	...
3688039	   .	   .	    0.0	...
3688041	   .	   .	    0.0	...
3688043	   .	   .	    0.0	...
MSG	3688044 START_CS-
3688045	   .	   .	    0.0	...
3688047	   .	   .	    0.0	...
3688049	   .	   .	    0.0	...
3688051	   .	   .	    0.0	...
3688053	   .	   .	    0.0	...
3688055	   .	   .	    0.0	...
3688057	   .	   .	    0.0	...
3688059	   .	   .	    0.0	...
3688061	   .	   .	    0.0	...
3688063	   .	   .	    0.0	...
3688065	   .	   .	    0.0	...
3688067	   .	   .	    0.0	...
3688069	   .	   .	    0.0	...
3688071	   .	   .	    0.0	...
3688073	   .	   .	    0.0	...
3688075	   .	   .	    0.0	...
3688077	   .	   .	    0.0	...
3688079	   .	   .	    0.0	...
3688081	   .	   .	    0.0	...
3688083	   .	   .	    0.0	...
3688085	   .	   .	    0.0	...
3688087	   .	   .	    0.0	...
3688089	   .	   .	    0.0	...
3688091	   .	   .	    0.0	...
3688093	   .	   .	    0.0	...
3688095	   .	   .	    0.0	...
3688097	   .	   .	    0.0	...
3688099	   .	   .	    0.0	...
3688101	   .	   .	    0.0	...
3688103	   .	   .	    0.0	...
3688105	   .	   .	    0.0	...
3688107	   .	   .	    0.0	...
3688109	   .	   .	    0.0	...
3688111	   .	   .	    0.0	...
3688113	   .	   .	    0.0	...
