** CONVERTED FROM s91_d2.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Sun Jan 14 10:47:18 2018
** DATE: Fri Jan  5 01:10:50 2018
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-AAE40
** CAMERA_CONFIG: AAE40140.SCD
**

MSG	44634574 RECCFG CR 500 2 1 R
MSG	44634574 ELCLCFG MTABLER
MSG	44634574 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	44634574 THRESHOLDS R 127 228
MSG	44634574 ELCL_PROC ELLIPSE  (5)
MSG	44634574 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	44634575 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	44634575 !MODE RECORD CR 500 2 1 R
INPUT	44634575	127
44634575	   .	   .	    0.0	...
SSACC R  44634577
SBLINK R 44634577
44634577	   .	   .	    0.0	...
44634579	   .	   .	    0.0	...
44634581	   .	   .	    0.0	...
44634583	   .	   .	    0.0	...
44634585	   .	   .	    0.0	...
44634587	   .	   .	    0.0	...
44634589	   .	   .	    0.0	...
44634591	   .	   .	    0.0	...
44634593	   .	   .	    0.0	...
44634595	   .	   .	    0.0	...
44634597	   .	   .	    0.0	...
44634599	   .	   .	    0.0	...
44634601	   .	   .	    0.0	...
44634603	   .	   .	    0.0	...
44634605	   .	   .	    0.0	...
44634607	   .	   .	    0.0	...
44634609	   .	   .	    0.0	...
44634611	   .	   .	    0.0	...
44634613	   .	   .	    0.0	...
44634615	   .	   .	    0.0	...
44634617	   .	   .	    0.0	...
44634619	   .	   .	    0.0	...
44634621	   .	   .	    0.0	...
44634623	   .	   .	    0.0	...
MSG	44634624 START_CS-
44634625	   .	   .	    0.0	...
44634627	   .	   .	    0.0	...
44634629	   .	   .	    0.0	...
44634631	   .	   .	    0.0	...
44634633	   .	   .	    0.0	...
44634635	   .	   .	    0.0	...
44634637	   .	   .	    0.0	...
44634639	   .	   .	    0.0	...
44634641	   .	   .	    0.0	...
44634643	   .	   .	    0.0	...
44634645	   .	   .	    0.0	...
44634647	   .	   .	    0.0	...
44634649	   .	   .	    0.0	...
44634651	   .	   .	    0.0	...
44634653	   .	   .	    0.0	...
44634655	   .	   .	    0.0	...
44634657	   .	   .	    0.0	...
44634659	   .	   .	    0.0	...
44634661	   .	   .	    0.0	...
44634663	   .	   .	    0.0	...
44634665	   .	   .	    0.0	...
44634667	   .	   .	    0.0	...
44634669	   .	   .	    0.0	...
44634671	   .	   .	    0.0	...
44634673	   .	   .	    0.0	...
44634675	   .	   .	    0.0	...
44634677	   .	   .	    0.0	...
